Polling firm,Date,T-Days,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Sample size
Norstat,7 Jun 2015,-827,1.1,3.5,4.3,41.0,5.1,4.5,5.2,22.0,12.1,1.3,957
Norfakta,3 Jun 2015,-831,1.4,3.4,4.0,39.5,6.5,4.7,5.4,22.2,10.9,2.0,1001
Norstat,31 May 2015,-834,1.6,2.1,4.0,40.0,5.7,4.7,5.6,21.6,11.7,3.0,957
Sentio,26 May 2015,-839,1.5,4.3,3.9,40.3,5.5,4.0,5.3,22.1,11.3,1.8,1000
Ipsos MMI,20 May 2015,-845,1.6,3.2,4.9,38.6,6.2,3.6,4.9,23.2,12.8,0.9,919
Opinion Perduco,11 May 2015,-854,2.0,3.1,5.0,38.6,6.0,3.6,4.7,24.2,12.2,0.6,958
Norfakta,7 May 2015,-858,1.3,3.1,3.6,37.6,5.3,5.2,5.6,22.8,12.5,2.5,1001
Respons Analyse,6 May 2015,-859,1.3,3.8,3.7,36.8,5.2,5.6,5.3,24.2,13.3,0.8,1002
Norstat,3 May 2015,-862,1.2,3.3,4.0,42.5,5.4,4.5,4.6,22.8,10.6,1.1,962
TNS Gallup,30 Apr 2015,-865,1.7,4.7,3.3,35.0,6.5,5.1,5.2,26.5,11.1,1.0,950
Sentio,26 Apr 2015,-869,1.2,3.7,3.0,37.4,5.0,4.9,5.6,26.1,11.3,1.8,1000
Ipsos MMI,22 Apr 2015,-873,1.9,4.0,3.6,38.8,5.1,5.0,5.4,22.3,13.0,1.0,917
Opinion Perduco,20 Apr 2015,-875,0.5,3.1,4.4,40.4,6.1,4.6,7.1,21.8,11.3,0.6,956
Respons Analyse,15 Apr 2015,-880,1.4,3.1,4.4,37.3,5.8,5.0,5.2,25.2,10.9,0.7,1000
Norstat,13 Apr 2015,-882,1.1,3.8,3.8,41.5,5.7,3.7,4.8,22.2,11.8,1.8,970
TNS Gallup,10 Apr 2015,-885,2.0,5.1,4.1,39.6,4.7,6.5,5.4,22.6,8.6,1.4,960
Norfakta,8 Apr 2015,-887,0.8,3.8,3.3,37.3,5.6,6.0,5.3,24.7,11.7,1.5,1000
Norstat,29 Mar 2015,-897,1.8,2.6,4.3,41.7,5.9,3.8,6.5,22.3,10.0,1.2,961
Ipsos MMI,25 Mar 2015,-901,2.2,3.7,3.0,41.1,7.3,4.1,4.6,23.5,9.9,0.6,898
Sentio,25 Mar 2015,-901,1.2,3.3,3.1,42.5,6.3,3.7,6.6,23.6,9.1,0.7,1000
Opinion Perduco,16 Mar 2015,-910,1.6,2.6,4.4,43.4,4.1,3.4,5.9,23.5,9.8,1.2,969
Respons Analyse,11 Mar 2015,-915,1.1,3.0,2.7,42.1,6.1,6.3,6.3,21.3,9.5,1.5,1000
Norstat,9 Mar 2015,-917,0.9,3.8,3.6,40.5,6.6,4.2,4.5,21.9,12.2,1.9,967
Norfakta,4 Mar 2015,-922,1.0,3.8,2.6,41.6,4.9,5.2,4.4,23.4,11.5,1.6,1000
Norstat,2 Mar 2015,-924,1.1,4.1,3.1,41.6,5.8,5.1,6.4,21.0,10.0,1.8,967
TNS Gallup,27 Feb 2015,-927,2.0,4.8,3.0,38.8,5.8,4.3,5.0,25.0,10.7,0.7,959
Ipsos MMI,26 Feb 2015,-928,2.7,3.7,3.7,41.3,5.5,4.2,5.6,21.5,11.3,0.4,946
InFact,24 Feb 2015,-930,1.4,3.8,4.2,41.8,4.8,4.4,6.0,20.8,11.7,1.2,2004
Sentio,24 Feb 2015,-930,1.0,4.3,3.6,43.4,5.8,4.6,5.4,21.4,9.2,1.5,1000
Opinion Perduco,16 Feb 2015,-938,2.4,4.0,3.1,42.8,6.4,4.5,4.9,21.4,10.0,0.6,959
Respons Analyse,11 Feb 2015,-943,1.8,4.1,3.3,41.1,5.9,5.2,5.8,21.7,9.9,1.1,1001
Norstat,9 Feb 2015,-945,1.3,3.6,3.9,39.7,6.5,4.1,4.7,21.8,13.5,0.8,956
Norfakta,4 Feb 2015,-950,1.2,3.8,2.9,41.3,5.1,4.9,4.5,21.9,12.4,2.1,1001
Norstat,2 Feb 2015,-952,0.7,3.6,4.6,42.4,5.1,5.0,5.1,20.9,12.1,0.4,958
TNS Gallup,30 Jan 2015,-955,1.5,4.1,3.5,42.3,6.0,4.9,5.8,20.3,10.6,1.0,957
Sentio,26 Jan 2015,-959,1.0,3.3,2.7,42.7,4.8,4.6,5.2,23.4,10.2,2.5,1000
Ipsos MMI,21 Jan 2015,-964,1.5,3.9,3.2,42.4,5.0,4.2,5.6,22.7,11.2,0.9,940
Opinion Perduco,20 Jan 2015,-965,1.4,3.5,3.5,40.6,5.3,4.7,5.6,22.9,11.9,0.7,965
Respons Analyse,14 Jan 2015,-971,1.2,4.6,3.7,41.2,4.6,4.8,5.3,22.7,11.3,0.6,1001
Norstat,12 Jan 2015,-973,1.0,3.3,3.9,40.4,5.0,4.4,5.4,23.3,12.3,1.2,970
TNS Gallup,9 Jan 2015,-976,1.2,3.2,3.2,42.8,7.0,5.7,4.7,20.9,10.5,0.8,957
Norfakta,7 Jan 2015,-978,1.4,4.4,3.3,40.1,6.1,3.8,5.2,22.6,11.9,1.2,1000
Norstat,21 Dec 2014,-995,1.3,3.0,4.8,41.6,4.1,4.6,5.6,22.0,12.4,0.4,953
Ipsos MMI,18 Dec 2014,-998,0.9,3.9,3.0,39.8,5.4,4.8,5.9,23.4,12.0,0.9,951
Sentio,16 Dec 2014,-1000,1.3,4.3,2.6,42.3,5.7,5.3,5.2,21.2,11.4,0.6,1000
Respons Analyse,10 Dec 2014,-1006,1.6,3.5,3.4,42.0,6.0,5.1,6.1,22.0,10.1,0.2,1000
Opinion Perduco,9 Dec 2014,-1007,1.1,3.5,4.2,41.8,5.6,5.0,5.6,22.3,10.2,0.6,963
Norfakta,3 Dec 2014,-1013,0.9,3.8,2.1,40.5,5.4,4.9,5.4,23.6,11.6,1.8,1001
Norstat,2 Dec 2014,-1014,1.0,3.3,3.7,42.8,5.4,3.3,5.0,21.5,12.6,1.2,952
TNS Gallup,28 Nov 2014,-1018,2.1,4.7,4.4,40.7,4.1,4.8,4.1,23.9,10.0,1.2,961
InFact,27 Nov 2014,-1019,1.4,3.9,3.8,40.6,5.5,4.7,6.4,19.5,12.9,1.3,2050
Norstat,24 Nov 2014,-1022,1.0,4.0,4.1,41.0,5.4,3.7,6.3,22.2,11.3,1.1,965
Ipsos MMI,20 Nov 2014,-1026,0.7,3.8,2.9,41.4,5.1,4.4,4.9,23.0,13.0,0.9,936
Sentio,17 Nov 2014,-1029,2.2,3.5,3.9,41.2,6.1,3.8,4.6,23.3,10.7,0.9,1000
Respons Analyse,12 Nov 2014,-1034,1.3,3.5,3.6,36.2,5.4,7.0,7.2,23.1,11.9,0.8,1001
Opinion Perduco,10 Nov 2014,-1036,1.3,3.8,3.5,42.2,5.2,3.9,5.9,22.0,11.4,0.9,960
Norfakta,5 Nov 2014,-1041,1.4,4.1,2.9,38.3,4.8,6.0,6.6,23.4,11.3,1.2,1001
TNS Gallup,31 Oct 2014,-1046,2.0,4.4,3.6,39.8,5.4,4.9,5.4,23.4,9.5,1.4,942
InFact,30 Oct 2014,-1047,1.6,4.5,3.3,39.2,4.7,4.8,5.0,21.4,14.1,1.5,2014
Norstat,27 Oct 2014,-1050,1.3,3.7,3.9,37.6,5.2,4.7,4.9,24.7,13.2,0.9,959
Ipsos MMI,23 Oct 2014,-1054,1.4,3.3,3.8,37.4,5.6,5.4,4.5,25.9,12.2,0.6,938
Sentio,20 Oct 2014,-1057,0.9,3.1,3.3,39.8,5.1,3.6,4.5,25.5,12.2,2.1,1000
Respons Analyse,15 Oct 2014,-1062,1.3,3.4,3.7,38.4,5.0,4.4,5.0,24.6,12.8,1.4,1000
Opinion Perduco,13 Oct 2014,-1064,0.6,2.7,3.0,39.0,4.6,4.5,4.4,25.9,13.8,1.4,963
Norfakta,8 Oct 2014,-1069,1.7,3.2,3.5,35.1,6.5,4.4,5.6,25.7,13.3,1.0,1000
Norstat,5 Oct 2014,-1072,1.1,3.9,4.0,34.0,5.3,4.6,4.9,27.2,14.3,0.8,959
TNS Gallup,4 Oct 2014,-1073,1.6,4.7,4.5,36.5,4.2,5.2,3.7,25.3,13.8,0.6,965
Norstat,30 Sep 2014,-1077,1.5,3.2,3.4,36.3,5.3,3.9,4.5,26.0,14.9,0.9,952
Ipsos MMI,25 Sep 2014,-1082,1.6,4.0,2.6,34.0,4.7,4.4,4.9,28.5,13.0,1.8,937
Sentio,21 Sep 2014,-1086,1.5,4.2,3.8,34.1,5.6,4.5,5.5,25.8,13.7,1.3,1000
Respons Analyse,17 Sep 2014,-1090,1.2,3.6,3.2,34.2,5.4,4.4,5.0,26.4,15.8,0.8,1003
Opinion Perduco,15 Sep 2014,-1092,1.4,3.4,4.1,34.8,3.8,5.0,5.0,27.5,14.3,0.8,912
Norstat,7 Sep 2014,-1100,0.8,3.2,3.3,37.6,4.6,4.7,5.9,25.8,13.3,0.8,951
Norfakta,3 Sep 2014,-1104,1.0,3.6,3.2,36.2,5.3,4.4,4.8,25.2,15.3,1.0,1001
Norstat,1 Sep 2014,-1106,1.2,2.4,3.9,35.3,4.9,4.8,4.8,27.0,15.1,0.5,948
TNS Gallup,30 Aug 2014,-1108,1.1,4.3,4.1,34.1,5.3,6.0,4.9,26.7,12.3,1.1,967
Sentio,24 Aug 2014,-1114,0.7,3.5,3.4,33.6,6.3,4.5,4.2,28.5,13.8,1.3,1000
Ipsos MMI,21 Aug 2014,-1117,1.4,3.8,4.2,32.8,4.5,5.4,4.5,30.9,11.0,1.5,870
Respons Analyse,20 Aug 2014,-1118,1.1,4.6,3.3,34.8,5.0,4.5,5.5,25.4,14.7,1.1,1001
Opinion Perduco,18 Aug 2014,-1120,0.8,2.5,4.2,36.6,5.1,4.7,4.7,27.1,13.4,1.8,962
Norstat,11 Aug 2014,-1127,1.2,4.4,3.1,34.3,4.9,4.5,5.5,25.5,15.3,0.4,967
TNS Gallup,8 Aug 2014,-1130,1.8,4.0,4.1,33.7,4.9,5.0,6.2,26.6,12.6,0.8,952
Norfakta,6 Aug 2014,-1132,1.2,3.9,3.5,36.0,5.7,4.5,4.9,24.6,15.0,0.7,1006
Norfakta,2 Jul 2014,-1167,1.1,2.7,3.7,36.8,5.1,5.2,5.1,26.3,12.8,1.2,1003
Norstat,30 Jun 2014,-1169,1.5,2.9,3.8,34.4,5.9,5.5,4.2,26.6,14.1,1.1,954
TNS Gallup,30 Jun 2014,-1169,2.0,3.4,3.3,37.6,5.0,5.2,4.6,27.6,10.0,1.4,927
Sentio,22 Jun 2014,-1177,1.3,3.1,3.5,34.5,4.8,4.0,5.4,25.4,15.5,2.5,1000
Ipsos MMI,19 Jun 2014,-1180,1.4,3.1,4.1,35.5,5.5,4.7,4.2,28.5,12.1,0.9,945
Opinion Perduco,16 Jun 2014,-1183,1.4,3.4,3.6,36.1,5.3,4.8,5.5,25.3,14.2,0.4,974
Norstat,9 Jun 2014,-1190,0.9,3.7,4.3,35.4,4.9,3.8,5.8,26.1,14.5,0.6,960
Norfakta,4 Jun 2014,-1195,1.3,3.0,3.1,34.5,6.1,5.5,5.7,25.7,13.5,1.6,1000
Respons Analyse,4 Jun 2014,-1195,1.1,4.3,3.3,33.6,5.1,4.7,5.4,26.5,14.4,1.6,1002
Norstat,3 Jun 2014,-1196,1.0,2.5,4.0,35.8,4.4,4.7,5.0,26.9,14.1,1.4,956
TNS Gallup,28 May 2014,-1202,1.7,4.5,3.1,34.4,6.1,6.5,4.6,26.1,11.7,1.3,949
InFact,28 May 2014,-1202,1.2,4.5,3.8,33.7,5.0,4.7,5.7,26.0,14.3,1.3,2087
Sentio,25 May 2014,-1205,1.5,3.3,2.3,34.9,5.3,5.9,5.4,26.2,13.1,2.1,1000
Ipsos MMI,22 May 2014,-1208,2.0,3.7,2.8,36.0,5.1,4.6,4.9,25.6,14.5,0.9,938
Opinion Perduco,19 May 2014,-1211,1.9,3.9,3.3,32.7,4.8,5.4,5.7,26.9,15.1,0.4,961
Norstat,11 May 2014,-1219,0.9,3.8,4.1,35.9,4.6,4.7,4.8,26.5,14.3,0.4,971
Norfakta,7 May 2014,-1223,0.7,4.0,3.2,33.9,4.9,5.4,4.9,28.1,13.3,1.6,1001
Respons Analyse,7 May 2014,-1223,1.3,4.3,3.5,33.2,5.7,4.8,5.7,26.8,12.8,1.6,1000
Norstat,5 May 2014,-1225,1.3,4.4,3.1,34.4,5.7,5.0,5.4,26.2,13.7,0.1,970
TNS Gallup,30 Apr 2014,-1230,1.7,4.5,4.2,32.2,4.9,5.3,4.8,27.8,12.5,2.1,951
InFact,28 Apr 2014,-1232,1.4,4.0,3.7,34.2,4.6,4.7,5.0,25.3,15.8,1.3,2061
Sentio,27 Apr 2014,-1233,0.7,3.7,3.7,31.7,5.1,5.9,5.4,28.9,13.2,1.7,1000
Ipsos MMI,24 Apr 2014,-1236,2.1,4.8,2.3,32.8,4.6,6.3,5.6,27.9,13.2,0.6,939
Opinion Perduco,16 Apr 2014,-1244,1.0,3.1,4.0,34.5,4.7,5.3,5.2,27.5,13.8,0.8,973
Respons Analyse,9 Apr 2014,-1251,1.4,2.9,2.4,34.0,4.3,5.3,5.4,29.8,13.6,0.9,1001
Norstat,7 Apr 2014,-1253,1.4,3.4,3.7,35.4,3.9,5.0,5.1,25.9,15.7,0.5,964
Norfakta,3 Apr 2014,-1257,0.9,3.7,3.5,34.5,4.9,4.7,4.9,27.8,13.9,1.2,1000
InFact,31 Mar 2014,-1260,1.2,3.6,2.9,33.5,4.9,5.3,5.4,26.8,14.9,2.1,2014
Norstat,31 Mar 2014,-1260,1.2,3.4,3.1,35.7,4.5,4.7,5.8,27.0,13.9,1.6,980
TNS Gallup,31 Mar 2014,-1260,1.1,4.5,3.5,33.0,4.5,6.1,5.9,29.5,11.3,0.6,957
Ipsos MMI,27 Mar 2014,-1264,1.6,5.0,3.1,33.7,4.9,5.5,4.6,27.6,12.8,1.3,951
Sentio,24 Mar 2014,-1267,1.0,3.9,2.6,35.3,5.1,4.3,5.1,26.2,15.1,1.4,1000
Opinion Perduco,17 Mar 2014,-1274,1.1,3.9,2.5,35.7,4.7,5.0,4.7,26.6,14.9,1.0,968
Respons Analyse,12 Mar 2014,-1279,1.4,3.6,2.8,34.7,4.4,6.1,5.1,27.7,13.9,0.3,1002
Norstat,10 Mar 2014,-1281,1.4,2.8,3.6,35.2,4.7,4.7,5.0,26.4,14.6,1.7,968
Norfakta,5 Mar 2014,-1286,1.3,3.5,3.4,33.4,5.2,4.6,5.9,26.6,15.5,0.6,1000
Norstat,3 Mar 2014,-1288,2.1,3.7,3.9,34.3,5.0,4.2,4.6,27.0,13.9,1.2,968
TNS Gallup,28 Feb 2014,-1291,1.5,4.3,3.2,35.2,4.9,6.2,4.7,27.6,11.6,0.8,976
Ipsos MMI,27 Feb 2014,-1292,2.0,3.3,3.0,34.4,4.7,5.2,5.3,26.5,15.0,0.6,972
InFact,27 Feb 2014,-1292,0.9,3.6,3.3,33.6,4.9,5.0,4.8,26.8,15.5,1.6,2029
Sentio,24 Feb 2014,-1295,1.0,4.0,2.2,33.7,5.1,4.3,5.1,29.9,12.8,1.8,1000
Opinion Perduco,17 Feb 2014,-1302,1.3,3.2,2.9,34.8,4.3,5.1,4.9,27.2,15.0,1.2,974
Respons Analyse,12 Feb 2014,-1307,0.9,4.8,2.5,34.7,4.6,5.1,5.0,27.0,14.3,1.1,1002
Norstat,10 Feb 2014,-1309,1.4,3.9,3.8,33.1,4.9,4.3,5.9,28.8,13.0,0.9,971
Norfakta,5 Feb 2014,-1314,1.2,3.1,3.1,34.3,4.0,4.6,5.2,28.8,14.5,1.2,1000
Norstat,3 Feb 2014,-1316,1.4,3.9,4.0,32.1,5.9,5.1,5.1,30.3,11.7,0.5,970
TNS Gallup,31 Jan 2014,-1319,1.1,4.2,2.8,34.1,5.2,4.9,5.6,29.2,11.9,0.9,1373
InFact,29 Jan 2014,-1321,1.6,4.0,3.3,32.4,4.6,5.2,5.3,28.3,14.1,1.3,2056
Sentio,27 Jan 2014,-1323,0.9,3.1,3.0,35.3,4.3,3.8,4.7,28.4,15.5,1.0,1000
Ipsos MMI,23 Jan 2014,-1327,1.8,3.5,2.4,34.6,4.9,4.5,5.2,28.0,14.2,0.9,947
Opinion Perduco,20 Jan 2014,-1330,0.9,4.0,3.9,33.8,4.5,5.5,4.8,28.8,13.4,0.4,979
Respons Analyse,15 Jan 2014,-1335,1.2,3.7,2.7,33.7,4.3,4.6,5.2,31.0,12.6,1.0,1002
Norstat,13 Jan 2014,-1337,1.2,4.2,3.1,32.7,4.3,5.2,6.3,30.5,11.7,1.3,984
TNS Gallup,10 Jan 2014,-1340,1.3,4.8,3.2,32.4,5.1,4.2,5.5,28.6,12.6,2.3,956
Norfakta,8 Jan 2014,-1342,0.4,4.1,3.3,32.9,3.9,4.9,5.5,29.4,14.7,1.0,1000
Ipsos MMI,19 Dec 2013,-1362,1.6,4.6,2.7,32.1,5.0,5.1,4.6,29.9,13.2,1.3,951
Norstat,19 Dec 2013,-1362,1.1,3.4,3.2,34.9,4.3,4.5,5.7,27.0,14.7,1.4,979
Sentio,16 Dec 2013,-1365,1.1,3.9,3.0,34.0,4.9,5.6,4.4,27.2,13.9,1.3,1000
InFact,11 Dec 2013,-1370,1.4,4.0,3.4,35.3,4.8,4.6,5.1,25.8,14.3,1.3,2042
Respons Analyse,11 Dec 2013,-1370,1.5,3.6,2.3,33.2,4.6,5.4,5.2,28.7,14.5,1.0,1000
Opinion Perduco,9 Dec 2013,-1372,0.8,3.5,3.1,32.7,4.9,5.4,5.8,27.9,14.8,1.1,980
Norfakta,4 Dec 2013,-1377,1.3,4.0,2.4,32.7,4.5,4.7,5.3,28.7,14.6,1.8,1000
TNS Gallup,30 Nov 2013,-1381,1.3,4.5,2.6,31.5,5.0,6.9,6.4,27.8,12.9,1.2,952
InFact,27 Nov 2013,-1384,1.2,4.1,3.1,33.4,4.7,4.7,6.1,26.4,14.9,1.4,2073
Norstat,25 Nov 2013,-1386,1.3,3.4,3.2,31.7,5.3,5.7,5.3,28.0,15.2,1.0,976
Ipsos MMI,21 Nov 2013,-1390,0.9,4.4,3.1,30.8,4.8,6.0,5.2,30.1,13.5,1.0,937
Sentio,18 Nov 2013,-1393,1.3,3.5,3.0,34.5,4.3,4.8,6.2,27.0,14.3,1.1,1000
Respons Analyse,13 Nov 2013,-1398,1.1,3.8,2.8,35.1,5.3,4.5,4.6,26.2,15.1,1.5,1003
Opinion Perduco,11 Nov 2013,-1400,1.5,3.2,3.3,31.6,5.6,6.1,6.0,27.9,14.3,0.6,979
Norfakta,6 Nov 2013,-1405,1.1,4.5,2.8,30.8,4.8,4.8,5.1,29.5,15.3,1.3,1000
TNS Gallup,1 Nov 2013,-1410,1.4,5.3,3.8,31.0,4.9,5.8,6.2,28.1,12.4,1.2,960
Norstat,28 Oct 2013,-1414,1.1,4.0,3.9,32.9,4.9,5.5,4.9,26.9,15.1,0.7,974
Ipsos MMI,24 Oct 2013,-1418,1.7,4.2,2.3,32.0,4.4,5.5,5.4,28.6,14.9,0.8,955
InFact,23 Oct 2013,-1419,1.4,4.5,3.4,33.7,4.6,5.0,5.5,26.2,14.2,1.4,2051
Sentio,22 Oct 2013,-1420,0.9,3.6,2.8,29.7,5.0,5.7,5.6,30.6,13.7,2.3,1000
Respons Analyse,16 Oct 2013,-1426,1.0,4.0,2.9,31.7,5.1,5.8,5.8,28.1,14.8,1.0,1000
Opinion Perduco,14 Oct 2013,-1428,1.5,4.1,4.1,31.7,4.9,5.7,6.5,27.1,13.8,0.8,982
Norstat,7 Oct 2013,-1435,1.3,4.2,4.3,30.5,4.7,6.4,4.7,25.7,17.0,1.1,984
TNS Gallup,4 Oct 2013,-1438,1.3,4.4,2.9,33.4,4.1,6.1,5.6,27.3,13.3,1.5,969
Norfakta,2 Oct 2013,-1440,1.3,3.7,2.7,32.7,4.8,4.9,5.1,28.4,15.0,1.4,1000
Norstat,30 Sep 2013,-1442,1.0,3.5,3.9,32.5,5.2,4.3,6.6,26.5,15.8,0.7,973
Ipsos MMI,26 Sep 2013,-1446,2.2,3.8,3.6,30.0,5.1,5.6,6.5,27.9,14.5,1.1,954
Opinion Perduco,25 Sep 2013,-1447,1.1,4.6,4.0,31.6,4.9,5.1,5.0,26.3,16.9,0.5,966
Sentio,16 Sep 2013,-1456,1.2,4.6,2.8,31.5,5.3,5.8,5.4,27.6,14.3,1.6,1000
