Polling firm,"Date",Area,"Sample size",Con,Lab,Lib Dem,SNP,Plaid Cymru,Green,Brexit,UKIP,Change UK,Other,Lead
Kantar Archived 7 September 2019 at the Wayback Machine,7–11 Mar,GB,"1,152",41%,31%,8%,5%,0%,6%,–,6%,–,2%,10%
BMG/The Independent,4–8 Mar,GB,"1,510",37%,31%,10%,3%,1%,5%,–,6%,5%,1%,6%
BMG/The Independent,4–8 Mar,GB,"1,510",39%,34%,12%,3%,1%,4%,–,5%,–,2%,5%
ComRes/Brexit Express Archived 5 January 2020 at the Wayback Machine,4–5 Mar,GB,"2,042",36%,34%,8%,3%,0%,3%,–,6%,8%,2%,2%
YouGov/The Times,3–4 Mar,GB,"2,172",40%,31%,11%,5%,5%,4%,3%,3%,–,3%,9%
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,26 Feb–1 Mar,GB,"2,004",37%,33%,7%,4%,1%,4%,–,7%,5%,2%,4%
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,26 Feb–1 Mar,GB,"2,003",40%,34%,9%,4%,1%,3%,–,7%,–,3%,6%
YouGov/The Times,22–23 Feb,GB,"1,672",41%,30%,10%,5%,5%,4%,2%,5%,–,3%,11%
YouGov/The Times,22–23 Feb,GB,"1,672",36%,23%,6%,–,–,–,–,–,18%,16%,13%
Deltapoll/The Mail on Sunday,21–23 Feb,GB,"1,027",39%,31%,5%,5%,0%,3%,–,4%,11%,1%,8%
Deltapoll/The Mail on Sunday,21–23 Feb,GB,"1,027",43%,36%,6%,4%,0%,3%,–,5%,–,2%,7%
Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,20–22 Feb,GB,"2,008",40%,32%,5%,4%,1%,4%,–,7%,6%,2%,8%
Sky Data,19 Feb,UK,"1,034",32%,26%,9%,4%,1%,4%,–,6%,10%,7%,6%
YouGov/The Times,18–19 Feb,GB,"1,861",38%,26%,7%,–,–,–,–,–,14%,15%,12%
YouGov/The Times,18–19 Feb,GB,"1,861",41%,33%,10%,5%,5%,4%,–,4%,–,3%,8%
Survation/Daily Mail,18 Feb,UK,"1,023",40%,36%,10%,3%,–,2%,–,5%,–,5%,4%
Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,13–15 Feb,GB,"2,005",37%,37%,8%,4%,0%,4%,–,7%,–,2%,Tie
Kantar[permanent dead link],7–11 Feb,GB,"1,145",40%,35%,10%,4%,1%,4%,–,3%,–,3%,5%
BMG,4–8 Feb,GB,"1,503",38%,35%,13%,3%,1%,5%,–,5%,–,1%,3%
YouGov/The Times,2–7 Feb,GB,"40,119",39%,34%,11%,3%,1%,4%,–,5%,–,2%,5%
Ipsos MORI,1–5 Feb,GB,"1,005",38%,38%,10%,4%,1%,3%,–,4%,–,3%,Tie
YouGov/The Times,3–4 Feb,GB,"1,851",41%,34%,10%,4%,0%,4%,–,4%,–,2%,7%
Opinium/The Observer Archived 12 December 2019 at the Wayback Machine,30 Jan–1 Feb,GB,"2,008",41%,34%,8%,4%,1%,4%,–,7%,–,1%,7%
Survation/Daily Mail,30 Jan,UK,"1,029",38%,39%,9%,3%,0%,2%,–,4%,–,4%,1%
Opinium/People's Vote,23–25 Jan,GB,"2,001",40%,36%,7%,3%,0%,4%,–,7%,–,1%,4%
ICM,16–18 Jan,GB,"2,046",39%,40%,9%,3%,0%,3%,–,5%,–,1%,1%
Opinium/The Observer Archived 10 December 2019 at the Wayback Machine,16–18 Jan,GB,"2,006",37%,40%,7%,5%,1%,4%,–,7%,–,1%,3%
ComRes/Sunday Mirror/Sunday Express Archived 15 December 2019 at the Wayback Machine,16–17 Jan,GB,"2,031",38%,37%,10%,3%,1%,3%,–,6%,–,1%,1%
Number Cruncher Politics,10–17 Jan,UK,"1,030",41%,39%,8%,3%,1%,2%,–,4%,–,1%,2%
ComRes/Daily Express Archived 15 December 2019 at the Wayback Machine,14–15 Jan,GB,"2,010",37%,39%,8%,3%,0%,3%,–,7%,–,1%,2%
YouGov/The Times,13–14 Jan,GB,"1,701",39%,34%,11%,4%,1%,4%,–,6%,–,1%,5%
Kantar Archived 26 June 2019 at the Wayback Machine,10–14 Jan,GB,"1,106",35%,38%,9%,4%,1%,4%,–,6%,–,3%,3%
Survation/Daily Mail,10–11 Jan,UK,"1,013",38%,41%,10%,3%,0%,2%,–,4%,–,3%,3%
BMG/The Independent,8–11 Jan,GB,"1,514",36%,36%,12%,3%,1%,5%,–,6%,–,1%,Tie
YouGov/The Times,6–7 Jan,GB,"1,656",41%,35%,11%,4%,0%,3%,–,4%,–,1%,6%
YouGov/People's Vote,21 Dec–4 Jan,UK,"25,537",40%,34%,10%,4%,0%,4%,–,4%,–,2%,6%
