Polling firm,Date,"Sample size",Resp.,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Lead,Red,Blue,Lead
Norfakta,5–6 Jan 2016,"1,000",82.0,1.2,4.4,4.5,33.4,6.2,4.1,4.5,24.5,14.8,2.3,8.9,,,
Norstat,15–20 Dec 2015,967,–,1.7,3.5,3.0,33.4,4.5,3.2,6.0,23.8,19.2,1.7,9.6,43.1,52.2,9.1
Ipsos MMI,14–16 Dec 2015,916,–,1.9,3.6,5.4,34.0,7.6,4.0,4.5,20.9,16.9,1.0,13.1,47.1,46.3,0.8
Sentio,8–13 Dec 2015,"1,000",68.0,2.2,3.6,4.4,35.6,7.1,4.0,4.3,20.6,16.6,1.6,15.0,48.5,45.5,3.0
Respons Analyse,7–9 Dec 2015,"1,001",–,1.6,3.9,4.6,31.3,5.3,5.2,5.0,23.7,17.6,1.8,7.6,42.1,51.5,9.4
Opinion Perduco,1–7 Dec 2015,959,–,1.9,3.3,3.8,35.4,6.0,3.3,4.4,21.6,18.3,1.9,13.8,46.6,47.6,1.0
Norfakta,1–2 Dec 2015,"1,000",81.0,1.9,3.5,5.3,33.5,4.7,4.5,5.1,20.7,18.2,2.6,12.8,43.6,48.5,4.9
Norstat,2 Dec 2015,–,–,1.8,4.3,4.0,34.6,5.8,3.4,5.4,22.5,17.3,1.0,12.1,46.5,48.6,2.1
TNS Gallup,24–30 Nov 2015,972,82.3,2.1,3.9,3.9,34.2,6.6,5.2,5.2,22.5,15.6,1.2,11.7,46.8,48.5,1.7
Norstat,26 Nov 2015,–,–,2.4,4.0,3.2,35.8,6.5,3.5,4.6,20.4,18.1,1.6,15.4,48.7,46.6,2.1
Ipsos MMI,16–19 Nov 2015,931,–,2.7,3.8,4.3,36.1,6.2,4.5,4.4,20.0,17.5,0.5,16.1,48.8,46.4,2.4
InFact,12–16 Nov 2015,"2,037",–,2.0,4.4,3.4,35.3,7.2,4.2,5.3,20.3,16.1,1.7,15.0,48.9,45.9,3.0
Sentio,10–15 Nov 2015,"1,000",73.9,1.6,3.0,4.7,34.9,7.0,3.6,5.2,20.3,18.2,1.4,14.6,46.5,47.3,0.8
Respons Analyse,9–11 Nov 2015,"1,002",–,1.9,4.3,4.1,32.3,5.1,5.3,4.7,22.8,18.7,0.8,9.5,43.6,51.5,7.9
Opinion Perduco,3–9 Nov 2015,954,–,1.5,3.6,4.5,33.1,6.7,4.2,4.2,24.7,15.3,2.2,8.4,44.9,48.4,3.5
Norfakta,3–4 Nov 2015,"1,000",–,1.5,4.1,5.2,35.2,4.3,5.2,4.9,21.7,16.6,1.3,13.5,45.1,48.4,3.3
Norstat,20 Oct–1 Nov 2015,–,–,1.9,3.9,3.9,35.5,6.0,4.2,5.5,23.8,13.3,1.9,11.7,47.3,46.8,0.5
TNS Gallup,26–31 Oct 2015,957,78.3,2.1,3.8,3.4,37.9,6.3,3.7,5.3,23.7,12.5,1.3,14.2,50.1,45.2,4.9
Norstat,20–26 Oct 2015,961,–,2.2,5.4,3.4,32.4,6.8,4.9,5.0,24.3,15.0,0.6,8.1,46.8,49.2,2.4
Ipsos MMI,19–21 Oct 2015,925,–,3.2,5.9,3.0,35.5,7.7,4.8,5.4,23.3,10.2,1.0,12.2,52.3,43.7,8.6
Sentio,13–19 Oct 2015,"1,000",75.8,1.1,3.3,4.5,37.6,7.2,5.6,5.0,22.5,12.3,1.0,15.1,49.2,45.4,3.8
Respons Analyse,12–14 Oct 2015,"1,001",–,2.1,4.3,4.0,34.5,6.3,4.9,5.3,24.3,13.2,1.1,10.2,47.2,47.7,0.5
Norstat,6–11 Oct 2015,968,–,1.2,3.4,4.2,40.2,5.8,5.2,5.6,20.3,12.8,1.3,19.9,50.6,43.9,6.7
Norfakta,6–7 Oct 2015,"1,001",81.0,0.9,4.1,4.9,38.1,5.5,6.0,5.2,23.3,11.9,0.1,14.8,48.6,46.4,2.2
Opinion Perduco,29 Sep–5 Oct 2015,973,76.0,1.8,3.0,4.8,36.2,6.4,5.6,6.9,22.7,11.0,1.5,13.5,47.4,46.2,1.2
TNS Gallup,28 Sep–2 Oct 2015,967,79.3,2.1,5.0,4.0,37.9,5.8,5.1,5.9,23.5,9.5,1.6,14.4,50.8,44.0,6.8
Norstat,22–28 Sep 2015,948,–,1.7,3.5,5.1,34.8,8.0,5.0,5.6,22.0,12.4,2.0,12.8,48.0,45.0,3.0
Ipsos MMI,21–24 Sep 2015,926,–,2.4,3.8,3.5,37.9,6.6,4.9,5.7,23.2,11.3,0.6,14.7,50.7,45.1,5.6
Sentio,15–21 Sep 2015,"1,000",–,1.4,4.0,5.9,36.7,5.5,5.0,5.6,21.6,12.5,1.9,15.1,47.6,44.7,2.9
Respons Analyse,10–12 Sep 2015,"1,204",–,1.5,4.7,4.1,34.6,6.5,5.7,5.2,23.3,13.3,1.1,11.3,47.3,47.5,0.2
Norstat,1–6 Sep 2015,947,76.0,1.8,3.9,4.5,34.6,7.2,5.5,6.2,23.5,11.3,1.6,11.1,47.5,46.5,1.0
Norfakta,1–2 Sep 2015,"1,000",–,1.2,3.1,5.4,35.6,5.6,4.1,5.9,25.6,12.6,0.9,10.0,45.5,48.2,2.7
Norstat,25–30 Aug 2015,949,71.9,1.1,5.2,5.1,34.4,6.4,6.2,5.3,22.5,12.4,1.4,11.9,47.1,46.4,0.7
TNS Gallup,27 Aug 2015,–,–,1.6,4.8,5.0,36.3,5.9,5.4,3.1,24.9,11.6,1.4,11.4,48.6,45.0,3.6
Sentio,18–23 Aug 2015,"1,000",73.3,1.6,4.6,6.0,34.2,6.3,3.8,6.1,20.6,14.3,2.3,13.6,46.7,44.8,1.9
Respons Analyse,17–19 Aug 2015,"1,003",–,2.2,3.9,5.0,33.1,6.2,5.2,5.0,23.8,12.8,2.8,9.3,45.4,46.8,1.4
Ipsos MMI,17–19 Aug 2015,925,–,1.4,4.8,4.0,38.3,4.2,5.2,4.6,24.0,13.0,0.5,14.3,48.7,46.8,1.9
Opinion Perduco,11–17 Aug 2015,969,73.0,1.4,3.5,4.7,37.6,6.2,4.8,5.2,21.7,12.8,2.2,15.9,48.7,44.5,4.2
TNS Gallup,10 Aug 2015,–,–,1.8,3.4,4.9,37.4,5.5,4.6,5.0,24.4,11.7,1.4,13.0,48.1,45.7,2.4
Norstat,4–9 Aug 2015,960,70.3,1.8,3.6,4.4,37.4,6.1,3.6,4.7,24.7,12.4,1.4,12.7,48.9,45.4,3.5
Norfakta,4–5 Aug 2015,"1,001",–,1.4,3.2,3.9,36.4,5.6,3.4,5.4,26.2,12.7,1.8,10.2,46.6,47.7,1.1
Norfakta,7–8 Jul 2015,"1,000",80.0,2.5,3.9,3.9,38.1,4.3,4.5,5.7,21.8,13.3,2.0,16.3,48.8,45.3,3.5
TNS Gallup,29 Jun–3 Jul 2015,966,78.4,1.5,4.1,5.0,38.8,4.6,5.7,4.6,22.8,11.0,1.7,16.0,49.0,44.1,4.9
Norstat,23–28 Jun 2015,959,–,1.0,4.9,3.9,35.8,6.4,3.5,5.1,23.4,14.2,1.6,12.4,48.1,46.2,1.9
Sentio,16–21 Jun 2015,"1,000",71.4,1.8,2.8,3.9,38.1,5.7,3.9,5.3,22.0,16.4,0.3,16.1,48.4,47.6,0.8
Ipsos MMI,15–17 Jun 2015,924,–,2.2,4.0,4.5,36.8,5.9,4.0,5.6,21.4,14.3,1.4,15.4,48.9,45.3,3.6
Opinion Perduco,9–15 Jun 2015,950,74.0,1.0,3.3,6.5,41.1,5.2,3.8,5.6,22.8,9.6,1.3,18.3,50.6,41.8,8.8
TNS Gallup,10 Jun 2015,–,–,1.4,4.2,4.1,37.9,5.7,5.3,5.1,23.5,11.7,1.1,14.4,49.2,45.6,3.6
Respons Analyse,8–10 Jun 2015,"1,000",78.0,1.2,3.6,4.8,35.9,5.7,5.3,5.3,24.7,12.9,0.6,11.2,46.4,48.2,1.8
Norstat,2–7 Jun 2015,957,69.3,1.1,3.5,4.3,41.0,5.1,4.5,5.2,22.0,12.1,1.3,19.0,50.7,43.8,6.9
Norfakta,2–3 Jun 2015,"1,001",74.0,1.4,3.4,4.0,39.5,6.5,4.7,5.4,22.2,10.9,2.0,17.3,50.8,43.2,7.6
Norstat,26–31 May 2015,957,–,1.6,2.1,4.0,40.0,5.7,4.7,5.6,21.6,11.7,3.0,18.4,49.4,43.6,5.8
Sentio,21–26 May 2015,"1,000",73.0,1.5,4.3,3.9,40.3,5.5,4.0,5.3,22.1,11.3,1.8,18.2,51.6,42.7,8.9
Ipsos MMI,18–20 May 2015,919,–,1.6,3.2,4.9,38.6,6.2,3.6,4.9,23.2,12.8,0.9,15.4,49.6,44.5,5.1
Norstat,12–18 May 2015,–,–,1.4,3.8,5.5,37.5,6.4,3.9,5.8,22.0,12.1,2.6,15.5,49.1,43.8,5.3
Opinion Perduco,5–11 May 2015,958,74.0,2.0,3.1,5.0,38.6,6.0,3.6,4.7,24.2,12.2,0.6,14.4,49.7,44.7,5.0
Norfakta,6–7 May 2015,"1,001",–,1.3,3.1,3.6,37.6,5.3,5.2,5.6,22.8,12.5,2.5,14.8,47.3,46.1,1.2
Respons Analyse,4–6 May 2015,"1,002",79.0,1.3,3.8,3.7,36.8,5.2,5.6,5.3,24.2,13.3,0.8,12.6,47.1,48.4,1.3
Norstat,28 Apr–3 May 2015,962,–,1.2,3.3,4.0,42.5,5.4,4.5,4.6,22.8,10.6,1.1,19.7,52.4,42.5,9.9
TNS Gallup,27–30 Apr 2015,950,78.9,1.7,4.7,3.3,35.0,6.5,5.1,5.2,26.5,11.1,1.0,8.5,47.9,47.9,Tie
Sentio,21–26 Apr 2015,"1,000",72.3,1.2,3.7,3.0,37.4,5.0,4.9,5.6,26.1,11.3,1.8,11.3,47.3,47.9,0.6
Ipsos MMI,20–22 Apr 2015,917,–,1.9,4.0,3.6,38.8,5.1,5.0,5.4,22.3,13.0,1.0,16.5,49.8,45.7,4.1
Opinion Perduco,14–20 Apr 2015,956,74.0,0.5,3.1,4.4,40.4,6.1,4.6,7.1,21.8,11.3,0.6,18.6,50.1,44.8,5.3
Respons Analyse,13–15 Apr 2015,"1,000",–,1.4,3.1,4.4,37.3,5.8,5.0,5.2,25.2,10.9,0.7,12.1,47.6,46.3,1.3
Norstat,7–13 Apr 2015,970,71.3,1.1,3.8,3.8,41.5,5.7,3.7,4.8,22.2,11.8,1.8,19.3,52.1,42.5,9.6
TNS Gallup,7–10 Apr 2015,960,77.8,2.0,5.1,4.1,39.6,4.7,6.5,5.4,22.6,8.6,1.4,17.0,51.4,43.1,8.3
Norfakta,7–8 Apr 2015,"1,000",80.0,0.8,3.8,3.3,37.3,5.6,6.0,5.3,24.7,11.7,1.5,12.6,47.5,47.7,0.2
Norstat,23–29 Mar 2015,961,–,1.8,2.6,4.3,41.7,5.9,3.8,6.5,22.3,10.0,1.2,19.3,52.0,42.6,9.4
Ipsos MMI,23–25 Mar 2015,898,–,2.2,3.7,3.0,41.1,7.3,4.1,4.6,23.5,9.9,0.6,17.6,54.3,42.1,12.2
Sentio,17–25 Mar 2015,"1,000",68.5,1.2,3.3,3.1,42.5,6.3,3.7,6.6,23.6,9.1,0.7,18.9,53.3,43.0,10.3
Opinion Perduco,10–16 Mar 2015,969,75.0,1.6,2.6,4.4,43.4,4.1,3.4,5.9,23.5,9.8,1.2,19.9,51.7,42.6,9.1
Respons Analyse,9–11 Mar 2015,"1,000",78.0,1.1,3.0,2.7,42.1,6.1,6.3,6.3,21.3,9.5,1.5,20.8,52.3,43.4,8.9
Norstat,3–9 Mar 2015,967,–,0.9,3.8,3.6,40.5,6.6,4.2,4.5,21.9,12.2,1.9,18.6,51.8,42.8,9.0
Norfakta,3–4 Mar 2015,"1,000",77.0,1.0,3.8,2.6,41.6,4.9,5.2,4.4,23.4,11.5,1.6,18.2,51.3,44.5,6.8
Norstat,24 Feb–2 Mar 2015,967,–,1.1,4.1,3.1,41.6,5.8,5.1,6.4,21.0,10.0,1.8,20.6,52.6,42.5,10.1
TNS Gallup,23–27 Feb 2015,959,78.5,2.0,4.8,3.0,38.8,5.8,4.3,5.0,25.0,10.7,0.7,13.8,51.4,45.0,6.4
Ipsos MMI,24–26 Feb 2015,946,–,2.7,3.7,3.7,41.3,5.5,4.2,5.6,21.5,11.3,0.4,19.8,53.2,42.6,10.6
InFact,20–24 Feb 2015,"2,004",–,1.4,3.8,4.2,41.8,4.8,4.4,6.0,20.8,11.7,1.2,21.0,51.8,42.9,8.9
Sentio,17–24 Feb 2015,"1,000",71.6,1.0,4.3,3.6,43.4,5.8,4.6,5.4,21.4,9.2,1.5,22.0,54.5,40.6,13.9
Opinion Perduco,10–16 Feb 2015,959,73.0,2.4,4.0,3.1,42.8,6.4,4.5,4.9,21.4,10.0,0.6,21.4,55.6,40.8,14.8
Respons Analyse,9–11 Feb 2015,"1,001",–,1.8,4.1,3.3,41.1,5.9,5.2,5.8,21.7,9.9,1.1,19.4,52.9,42.6,10.3
Norstat,3–9 Feb 2015,956,–,1.3,3.6,3.9,39.7,6.5,4.1,4.7,21.8,13.5,0.8,17.9,51.1,44.1,7.0
Norfakta,3–4 Feb 2015,"1,001",–,1.2,3.8,2.9,41.3,5.1,4.9,4.5,21.9,12.4,2.1,19.4,51.4,43.7,7.7
Norstat,27 Jan–2 Feb 2015,958,70.0,0.7,3.6,4.6,42.4,5.1,5.0,5.1,20.9,12.1,0.4,21.5,51.8,43.1,8.7
TNS Gallup,26–30 Jan 2015,957,79.5,1.5,4.1,3.5,42.3,6.0,4.9,5.8,20.3,10.6,1.0,22.0,53.9,41.6,12.3
Sentio,20–26 Jan 2015,"1,000",73.6,1.0,3.3,2.7,42.7,4.8,4.6,5.2,23.4,10.2,2.5,19.3,51.8,43.4,8.4
Ipsos MMI,19–21 Jan 2015,940,–,1.5,3.9,3.2,42.4,5.0,4.2,5.6,22.7,11.2,0.9,19.7,52.8,43.7,9.1
Opinion Perduco,13–20 Jan 2015,965,74.0,1.4,3.5,3.5,40.6,5.3,4.7,5.6,22.9,11.9,0.7,17.7,50.8,45.1,5.7
Respons Analyse,12–14 Jan 2015,"1,001",73.0,1.2,4.6,3.7,41.2,4.6,4.8,5.3,22.7,11.3,0.6,18.5,51.6,44.1,7.5
Norstat,6–12 Jan 2015,970,77.5,1.0,3.3,3.9,40.4,5.0,4.4,5.4,23.3,12.3,1.2,17.1,49.7,45.4,4.3
TNS Gallup,5–9 Jan 2015,957,79.2,1.2,3.2,3.2,42.8,7.0,5.7,4.7,20.9,10.5,0.8,21.9,54.2,41.8,12.4
Norfakta,6–7 Jan 2015,"1,000",79.0,1.4,4.4,3.3,40.1,6.1,3.8,5.2,22.6,11.9,1.2,17.5,52.0,43.5,8.5
Norstat,12–21 Dec 2014,953,76.0,1.3,3.0,4.8,41.6,4.1,4.6,5.6,22.0,12.4,0.4,19.6,50.0,44.6,5.4
Ipsos MMI,15–18 Dec 2014,951,–,0.9,3.9,3.0,39.8,5.4,4.8,5.9,23.4,12.0,0.9,16.4,50.0,46.1,3.9
Sentio,9–16 Dec 2014,"1,000",75.6,1.3,4.3,2.6,42.3,5.7,5.3,5.2,21.2,11.4,0.6,21.1,53.6,43.1,10.5
Respons Analyse,8–10 Dec 2014,"1,000",84.0,1.6,3.5,3.4,42.0,6.0,5.1,6.1,22.0,10.1,0.2,20.0,53.1,43.3,9.8
Opinion Perduco,2–9 Dec 2014,963,75.0,1.1,3.5,4.2,41.8,5.6,5.0,5.6,22.3,10.2,0.6,19.5,52.0,43.1,8.9
Norfakta,2–3 Dec 2014,"1,001",81.0,0.9,3.8,2.1,40.5,5.4,4.9,5.4,23.6,11.6,1.8,16.9,50.6,45.5,5.1
Norstat,26 Nov–2 Dec 2014,952,77.3,1.0,3.3,3.7,42.8,5.4,3.3,5.0,21.5,12.6,1.2,21.3,52.5,42.4,10.1
TNS Gallup,24–28 Nov 2014,961,79.2,2.1,4.7,4.4,40.7,4.1,4.8,4.1,23.9,10.0,1.2,16.8,51.6,42.8,8.8
InFact,24–27 Nov 2014,"2,050",–,1.4,3.9,3.8,40.6,5.5,4.7,6.4,19.5,12.9,1.3,21.1,51.4,43.5,7.9
Norstat,18–24 Nov 2014,965,70.4,1.0,4.0,4.1,41.0,5.4,3.7,6.3,22.2,11.3,1.1,18.8,51.4,43.5,7.9
Ipsos MMI,17–20 Nov 2014,936,–,0.7,3.8,2.9,41.4,5.1,4.4,4.9,23.0,13.0,0.9,18.4,51.0,45.3,5.7
Sentio,10–17 Nov 2014,"1,000",72.2,2.2,3.5,3.9,41.2,6.1,3.8,4.6,23.3,10.7,0.9,17.9,53.0,42.4,10.6
Respons Analyse,10–12 Nov 2014,"1,001",79.0,1.3,3.5,3.6,36.2,5.4,7.0,7.2,23.1,11.9,0.8,13.1,46.4,49.2,2.8
Opinion Perduco,4–10 Nov 2014,960,73.0,1.3,3.8,3.5,42.2,5.2,3.9,5.9,22.0,11.4,0.9,20.2,52.5,43.2,9.3
Norfakta,4–5 Nov 2014,"1,001",–,1.4,4.1,2.9,38.3,4.8,6.0,6.6,23.4,11.3,1.2,14.9,48.6,47.3,1.3
Norstat,4 Nov 2014,–,–,1.2,3.8,3.5,40.9,4.9,4.3,5.7,23.8,11.3,0.5,17.1,50.8,45.1,5.7
TNS Gallup,27–31 Oct 2014,942,79.9,2.0,4.4,3.6,39.8,5.4,4.9,5.4,23.4,9.5,1.4,16.4,51.6,43.2,8.4
InFact,13–30 Oct 2014,"2,014",–,1.6,4.5,3.3,39.2,4.7,4.8,5.0,21.4,14.1,1.5,17.8,50.0,45.3,4.7
Norstat,21–27 Oct 2014,959,68.8,1.3,3.7,3.9,37.6,5.2,4.7,4.9,24.7,13.2,0.9,12.9,47.8,47.5,0.3
Ipsos MMI,20–23 Oct 2014,938,–,1.4,3.3,3.8,37.4,5.6,5.4,4.5,25.9,12.2,0.6,11.5,47.7,48.0,0.3
Sentio,14–20 Oct 2014,"1,000",70.1,0.9,3.1,3.3,39.8,5.1,3.6,4.5,25.5,12.2,2.1,14.3,48.9,45.8,3.1
Respons Analyse,13–15 Oct 2014,"1,000",–,1.3,3.4,3.7,38.4,5.0,4.4,5.0,24.6,12.8,1.4,13.8,48.1,46.8,1.3
Opinion Perduco,7–13 Oct 2014,963,–,0.6,2.7,3.0,39.0,4.6,4.5,4.4,25.9,13.8,1.4,13.1,46.9,48.6,1.7
Norfakta,7–8 Oct 2014,"1,000",–,1.7,3.2,3.5,35.1,6.5,4.4,5.6,25.7,13.3,1.0,9.4,46.5,49.0,2.5
Norstat,29 Sep–5 Oct 2014,959,–,1.1,3.9,4.0,34.0,5.3,4.6,4.9,27.2,14.3,0.8,6.8,44.3,51.0,6.7
TNS Gallup,29 Sep–4 Oct 2014,965,77.4,1.6,4.7,4.5,36.5,4.2,5.2,3.7,25.3,13.8,0.6,11.2,47.0,48.0,1.0
Norstat,24–30 Sep 2014,952,71.4,1.5,3.2,3.4,36.3,5.3,3.9,4.5,26.0,14.9,0.9,10.3,46.3,49.3,3.0
Ipsos MMI,22–25 Sep 2014,937,–,1.6,4.0,2.6,34.0,4.7,4.4,4.9,28.5,13.0,1.8,5.5,44.3,50.8,6.5
Sentio,16–21 Sep 2014,"1,000",72.2,1.5,4.2,3.8,34.1,5.6,4.5,5.5,25.8,13.7,1.3,8.3,45.4,49.5,4.1
Respons Analyse,15–17 Sep 2014,"1,003",–,1.2,3.6,3.2,34.2,5.4,4.4,5.0,26.4,15.8,0.8,7.8,44.4,51.6,7.2
Opinion Perduco,9–15 Sep 2014,912,74.0,1.4,3.4,4.1,34.8,3.8,5.0,5.0,27.5,14.3,0.8,7.3,43.4,51.8,8.4
Norstat,1–7 Sep 2014,951,78.7,0.8,3.2,3.3,37.6,4.6,4.7,5.9,25.8,13.3,0.8,11.8,46.2,49.7,3.5
Norfakta,2–3 Sep 2014,"1,001",77.0,1.0,3.6,3.2,36.2,5.3,4.4,4.8,25.2,15.3,1.0,11.0,46.1,49.7,3.6
Norstat,26 Aug–1 Sep 2014,948,–,1.2,2.4,3.9,35.3,4.9,4.8,4.8,27.0,15.1,0.5,8.3,43.8,51.7,7.9
TNS Gallup,25–30 Aug 2014,967,77.3,1.1,4.3,4.1,34.1,5.3,6.0,4.9,26.7,12.3,1.1,7.4,44.8,49.9,5.1
Sentio,19–24 Aug 2014,"1,000",71.6,0.7,3.5,3.4,33.6,6.3,4.5,4.2,28.5,13.8,1.3,5.1,44.1,51.0,6.9
Ipsos MMI,19–21 Aug 2014,870,–,1.4,3.8,4.2,32.8,4.5,5.4,4.5,30.9,11.0,1.5,1.9,42.5,51.8,9.3
Respons Analyse,18–20 Aug 2014,"1,001",80.0,1.1,4.6,3.3,34.8,5.0,4.5,5.5,25.4,14.7,1.1,9.4,45.5,50.1,4.6
Opinion Perduco,12–18 Aug 2014,962,–,0.8,2.5,4.2,36.6,5.1,4.7,4.7,27.1,13.4,1.8,9.5,45.0,49.9,4.9
Norstat,5–11 Aug 2014,967,–,1.2,4.4,3.1,34.3,4.9,4.5,5.5,25.5,15.3,0.4,8.8,44.8,50.8,6.0
TNS Gallup,4–8 Aug 2014,952,76.9,1.8,4.0,4.1,33.7,4.9,5.0,6.2,26.6,12.6,0.8,7.1,44.4,50.4,6.0
Norfakta,5–6 Aug 2014,"1,006",81.0,1.2,3.9,3.5,36.0,5.7,4.5,4.9,24.6,15.0,0.7,11.4,46.8,49.0,2.2
Norfakta,1–2 Jul 2014,"1,003",72.0,1.1,2.7,3.7,36.8,5.1,5.2,5.1,26.3,12.8,1.2,10.5,45.7,49.4,3.7
Norstat,24–30 Jun 2014,954,70.5,1.5,2.9,3.8,34.4,5.9,5.5,4.2,26.6,14.1,1.1,7.8,44.7,50.4,5.7
TNS Gallup,24–30 Jun 2014,927,80.3,2.0,3.4,3.3,37.6,5.0,5.2,4.6,27.6,10.0,1.4,10.0,48.0,47.4,0.6
Sentio,17–22 Jun 2014,"1,000",–,1.3,3.1,3.5,34.5,4.8,4.0,5.4,25.4,15.5,2.5,9.1,43.7,50.3,6.6
Ipsos MMI,17–19 Jun 2014,945,–,1.4,3.1,4.1,35.5,5.5,4.7,4.2,28.5,12.1,0.9,7.0,45.5,49.5,4.0
Opinion Perduco,10–16 Jun 2014,974,–,1.4,3.4,3.6,36.1,5.3,4.8,5.5,25.3,14.2,0.4,10.8,46.2,49.8,3.6
Norstat,3–9 Jun 2014,960,–,0.9,3.7,4.3,35.4,4.9,3.8,5.8,26.1,14.5,0.6,9.3,44.9,50.2,5.3
Norfakta,3–4 Jun 2014,"1,000",72.0,1.3,3.0,3.1,34.5,6.1,5.5,5.7,25.7,13.5,1.6,8.8,44.9,50.4,5.5
Respons Analyse,2–4 Jun 2014,"1,002",–,1.1,4.3,3.3,33.6,5.1,4.7,5.4,26.5,14.4,1.6,7.1,44.1,51.0,6.9
Norstat,28 May–3 Jun 2014,956,71.7,1.0,2.5,4.0,35.8,4.4,4.7,5.0,26.9,14.1,1.4,8.9,43.7,50.7,7.0
TNS Gallup,23–28 May 2014,949,83.4,1.7,4.5,3.1,34.4,6.1,6.5,4.6,26.1,11.7,1.3,8.3,46.7,48.9,2.2
InFact,6–28 May 2014,"2,087",–,1.2,4.5,3.8,33.7,5.0,4.7,5.7,26.0,14.3,1.3,7.7,44.4,50.7,6.3
Sentio,20–25 May 2014,"1,000",72.0,1.5,3.3,2.3,34.9,5.3,5.9,5.4,26.2,13.1,2.1,8.7,45.0,50.6,5.6
Ipsos MMI,22 May 2014,938,–,2.0,3.7,2.8,36.0,5.1,4.6,4.9,25.6,14.5,0.9,10.4,46.8,49.6,2.8
Opinion Perduco,13–19 May 2014,961,–,1.9,3.9,3.3,32.7,4.8,5.4,5.7,26.9,15.1,0.4,5.8,43.3,53.1,9.8
Norstat,6–11 May 2014,971,71.9,0.9,3.8,4.1,35.9,4.6,4.7,4.8,26.5,14.3,0.4,9.4,45.2,50.3,5.1
Norfakta,6–7 May 2014,"1,001",79.0,0.7,4.0,3.2,33.9,4.9,5.4,4.9,28.1,13.3,1.6,5.8,43.5,51.7,8.2
Respons Analyse,5–7 May 2014,"1,000",84.0,1.3,4.3,3.5,33.2,5.7,4.8,5.7,26.8,12.8,1.6,6.4,44.5,50.1,5.6
Norstat,29 Apr–5 May 2014,970,70.3,1.3,4.4,3.1,34.4,5.7,5.0,5.4,26.2,13.7,0.1,8.2,45.8,50.3,4.5
TNS Gallup,25–30 Apr 2014,951,81.2,1.7,4.5,4.2,32.2,4.9,5.3,4.8,27.8,12.5,2.1,4.4,43.3,50.4,7.1
InFact,22–28 Apr 2014,"2,061",–,1.4,4.0,3.7,34.2,4.6,4.7,5.0,25.3,15.8,1.3,8.9,44.2,50.8,6.6
Sentio,22–27 Apr 2014,"1,000",75.6,0.7,3.7,3.7,31.7,5.1,5.9,5.4,28.9,13.2,1.7,2.8,41.2,53.4,12.2
Ipsos MMI,22–24 Apr 2014,939,–,2.1,4.8,2.3,32.8,4.6,6.3,5.6,27.9,13.2,0.6,4.9,44.3,53.0,8.7
Opinion Perduco,9–16 Apr 2014,973,75.0,1.0,3.1,4.0,34.5,4.7,5.3,5.2,27.5,13.8,0.8,7.0,43.3,51.8,8.5
Respons Analyse,7–9 Apr 2014,"1,001",–,1.4,2.9,2.4,34.0,4.3,5.3,5.4,29.8,13.6,0.9,4.2,42.6,54.1,11.5
Norstat,1–7 Apr 2014,964,73.1,1.4,3.4,3.7,35.4,3.9,5.0,5.1,25.9,15.7,0.5,9.5,44.1,51.7,7.6
Norfakta,2–3 Apr 2014,"1,000",–,0.9,3.7,3.5,34.5,4.9,4.7,4.9,27.8,13.9,1.2,6.7,44.0,51.3,7.3
InFact,25–31 Mar 2014,"2,014",–,1.2,3.6,2.9,33.5,4.9,5.3,5.4,26.8,14.9,2.1,6.7,43.2,52.4,9.2
Norstat,25–31 Mar 2014,980,73.0,1.2,3.4,3.1,35.7,4.5,4.7,5.8,27.0,13.9,1.6,8.7,44.8,51.4,6.6
TNS Gallup,25–31 Mar 2014,957,82.7,1.1,4.5,3.5,33.0,4.5,6.1,5.9,29.5,11.3,0.6,3.5,43.1,52.8,9.7
Ipsos MMI,25–27 Mar 2014,951,–,1.6,5.0,3.1,33.7,4.9,5.5,4.6,27.6,12.8,1.3,6.1,45.2,50.5,5.3
Sentio,18–24 Mar 2014,"1,000",74.6,1.0,3.9,2.6,35.3,5.1,4.3,5.1,26.2,15.1,1.4,9.1,45.3,50.7,5.4
Opinion Perduco,11–17 Mar 2014,968,–,1.1,3.9,2.5,35.7,4.7,5.0,4.7,26.6,14.9,1.0,9.1,45.4,51.2,5.8
Respons Analyse,10–12 Mar 2014,"1,002",–,1.4,3.6,2.8,34.7,4.4,6.1,5.1,27.7,13.9,0.3,7.0,44.1,52.8,8.7
Norstat,4–10 Mar 2014,968,73.0,1.4,2.8,3.6,35.2,4.7,4.7,5.0,26.4,14.6,1.7,8.8,44.1,50.7,6.6
Norfakta,4–5 Mar 2014,"1,000",83.0,1.3,3.5,3.4,33.4,5.2,4.6,5.9,26.6,15.5,0.6,6.8,43.4,52.6,9.2
Norstat,25 Feb–3 Mar 2014,968,69.7,2.1,3.7,3.9,34.3,5.0,4.2,4.6,27.0,13.9,1.2,7.3,45.1,49.7,4.6
TNS Gallup,24–28 Feb 2014,976,77.5,1.5,4.3,3.2,35.2,4.9,6.2,4.7,27.6,11.6,0.8,7.6,45.9,50.1,4.2
Ipsos MMI,25–27 Feb 2014,972,–,2.0,3.3,3.0,34.4,4.7,5.2,5.3,26.5,15.0,0.6,7.9,44.4,52.0,7.6
InFact,24–27 Feb 2014,"2,029",–,0.9,3.6,3.3,33.6,4.9,5.0,4.8,26.8,15.5,1.6,6.8,43.0,52.1,9.1
